Scientific Name,Common Name,Current Scientific Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,ACI,CKI,CI,CSI,JBT,NFI,HMI,AAT,CMA,Listed SPRAT TaxonID,Current SPRAT TaxonID,Kingdom,Class,Profile,Date extracted,NSL Name,Family,Genus,Species,Infraspecific Rank,Infraspecies,Species Author,Infraspecies Author
"Neophoca cinerea","Australian Sea-lion, Australian Sea Lion","-","Vulnerable","-","-","-","-","Yes","-","-","Yes","-","-","-","-","-","-","-","-","Yes","22","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=22","2017-May-11","-","Otariidae","Neophoca","cinerea","-","-","(Peron,1816)","-"
"Mirounga leonina","Southern Elephant Seal","-","Vulnerable","-","-","-","-","Yes","Yes","-","-","-","-","-","-","-","-","Yes","Yes","Yes","26","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26","2017-May-11","-","Phocidae","Mirounga","leonina","-","-","(Linnaeus,1758)","-"
"Balaenoptera borealis","Sei Whale","-","Vulnerable","-","Yes","-","Yes","Yes","Yes","Yes","Yes","-","Yes","Yes","Yes","-","-","Yes","Yes","Yes","34","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=34","2017-May-11","-","Balaenopteridae","Balaenoptera","borealis","-","-","Lesson, 1828","-"
"Balaenoptera musculus","Blue Whale","-","Endangered","-","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","-","Yes","Yes","Yes","Yes","36","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=36","2017-May-11","-","Balaenopteridae","Balaenoptera","musculus","-","-","(Linnaeus, 1758)","-"
"Balaenoptera physalus","Fin Whale","-","Vulnerable","-","Yes","-","Yes","Yes","Yes","Yes","Yes","-","-","-","-","-","-","Yes","Yes","Yes","37","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=37","2017-May-11","-","Balaenopteridae","Balaenoptera","physalus","-","-","(Linnaeus, 1758)","-"
"Megaptera novaeangliae","Humpback Whale","-","Vulnerable","-","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","38","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=38","2017-May-11","-","Balaenopteridae","Megaptera","novaeangliae","-","-","(Borowski, 1781)","-"
"Eubalaena australis","Southern Right Whale","-","Endangered","-","Yes","-","Yes","Yes","Yes","Yes","Yes","-","-","-","Yes","Yes","Yes","Yes","Yes","Yes","40","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=40","2017-May-11","-","Balaenidae","Eubalaena","australis","-","-","(Desmoulins, 1822)","-"
"Xeromys myoides","Water Mouse, False Water Rat, Yirrkoo","-","Vulnerable","-","Yes","Yes","Yes","-","-","-","Yes","-","-","-","-","-","-","-","-","-","66","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66","2017-May-11","-","Muridae","Xeromys","myoides","-","-","Thomas, 1889","-"
"Zyzomys pedunculatus","Central Rock-rat, Antina","-","Endangered","-","-","Yes","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","68","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=68","2017-May-11","-","Muridae","Zyzomys","pedunculatus","-","-","(Waite,1896)","-"
"Pseudomys shortridgei","Heath Mouse, Dayang, Heath Rat","-","Endangered","-","-","-","-","Yes","-","Yes","Yes","-","-","-","-","-","-","-","-","-","77","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77","2017-May-11","-","Muridae","Pseudomys","shortridgei","-","-","(Thomas, 1907)","-"
"Pseudomys fumeus","Smoky Mouse, Konoom","-","Endangered","Yes","Yes","-","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","88","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88","2017-May-11","-","Muridae","Pseudomys","fumeus","-","-","Brazenor,1934","-"
"Pseudomys gouldii","Gould's Mouse, Koontin","-","Extinct","-","Yes","-","Yes","Yes","-","Yes","Yes","-","-","-","-","-","-","-","-","-","89","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89","2017-May-11","-","Muridae","Pseudomys","gouldii","-","-","(Waterhouse, 1839)","-"
"Pseudomys novaehollandiae","New Holland Mouse, Pookila","-","Vulnerable","-","Yes","-","Yes","-","Yes","Yes","-","-","-","-","-","Yes","-","-","-","-","96","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=96","2017-May-11","-","Muridae","Pseudomys","novaehollandiae","-","-","(Waterhouse, 1843)","-"
"Pseudomys oralis","Hastings River Mouse, Koontoo","-","Endangered","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","98","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=98","2017-May-11","-","Muridae","Pseudomys","oralis","-","-","Thomas,1921","-"
"Pseudomys pilligaensis","Pilliga Mouse, Poolkoo","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","99","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=99","2017-May-11","-","Muridae","Pseudomys","pilligaensis","-","-","Fox and Briscoe,1980","-"
"Notomys macrotis","Large-eared Hopping-mouse, Noompa, Big -eared Hopping-mouse","-","Extinct","-","-","-","-","-","-","-","Yes","-","-","-","-","-","-","-","-","-","101","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=101","2017-May-11","-","Muridae","Notomys","macrotis","-","-","Thomas, 1921","-"
"Notomys mordax","Darling Downs Hopping-mouse, Payi","-","Extinct","-","Yes","-","Yes","-","-","-","-","-","-","-","-","-","-","-","-","-","103","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=103","2017-May-11","-","Muridae","Notomys","mordax","-","-","Thomas, 1922","-"
"Pseudomys australis","Plains Rat, Palyoora","-","Vulnerable","-","Yes","Yes","Yes","Yes","-","-","Yes","-","-","-","-","-","-","-","-","-","108","-","Animalia","Mammalia","http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=108","2017-May-11","-","Muridae","Pseudomys","australis","-","-","Gray,1832","-"
