id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17948917,Separate,123157430,Eee,,Greater Dandenong,-37.94919599271302,145.15169763539836,Private room,50,1,0,,,1,178
17816991,lge large,121801678,Ugarte,,Greater Dandenong,-37.950483773102704,145.14857432232878,Private room,100,1,0,,,1,364
4287875,small and comfy .,22260925,Melroy,,Greater Dandenong,-37.98317663259588,145.17193088883062,Private room,50,2,33,2017-02-28,1.11,1,333
17797801,study,121617802,Strickland,,Greater Dandenong,-37.94445961181717,145.1522148378495,Private room,98,1,0,,,1,364
17797773,master bedroom,121617550,Choi,,Greater Dandenong,-37.950238694558685,145.14651218703415,Private room,100,1,0,,,1,172
17547269,Hotel in Dandenong,68813725,Ivy,,Greater Dandenong,-37.97618319502303,145.20717820067765,Private room,125,1,0,,,4,365
10927751,Room for rent noble park,365556,Rebecca,,Greater Dandenong,-37.96966735515187,145.1722550510247,Private room,60,1,0,,,1,365
10127951,Insaa Apartments Dandenong - 3BR Townhouse,39093981,Don,,Greater Dandenong,-37.991688514051006,145.20305902209125,Entire home/apt,248,3,1,2016-12-16,0.28,5,360
9374434,A room with a double bed!,48639316,Cameron,,Greater Dandenong,-37.95896976956658,145.14590631554344,Private room,39,2,5,2017-03-30,0.63,1,203
14600160,湿地旁的橄榄树之家 The olive tree house,60302994,Tao,,Greater Dandenong,-38.003564726501885,145.15597996219543,Entire home/apt,218,1,33,2017-03-12,4.74,1,127
3856909,4BR House-DANDENONG–PERFECT LOCAT'N,19896788,Mary,,Greater Dandenong,-37.98246664602514,145.21448825546423,Entire home/apt,132,2,0,,,1,105
9245788,Cosy bed room with private washroom,48048221,Malhaar,,Greater Dandenong,-37.96749025053675,145.16888783114507,Private room,45,1,24,2017-03-24,1.56,1,351
12501251,Private bedroom Double Bed,67654086,Cris,,Greater Dandenong,-37.94692724716111,145.14544971337617,Private room,35,2,8,2017-03-18,0.90,2,147
16073615,Queen bedroom in Springvale with free wifi,97858591,Swan,,Greater Dandenong,-37.951066388200616,145.14270552436162,Private room,68,2,2,2017-02-27,1.36,3,324
16461750,Big sunny queen size bed + single bed room for 2+1,107285752,May,,Greater Dandenong,-37.997542451467346,145.14913351167544,Private room,41,1,3,2017-03-23,1.53,5,267
3221228,Spacious room - CBD 30m by metro,2359587,Paul,,Greater Dandenong,-37.96196809341195,145.16262721338651,Private room,35,15,0,,,1,365
6561521,Melbourne Garden Hostel Room1,34310230,Karen,,Greater Dandenong,-37.942195743893556,145.1446049878557,Shared room,39,1,6,2017-03-02,0.28,4,365
10531333,i am friendly,54307006,Beatriz,,Greater Dandenong,-37.999523800709525,145.1779371048153,Entire home/apt,60,1,0,,,1,0
6559957,Melbourne Garden Hostel Room2,34310230,Karen,,Greater Dandenong,-37.94100533206045,145.14569645636075,Shared room,20,1,7,2017-02-16,0.38,4,350
17834431,The view is very beautiful,121978021,Gyg,,Greater Dandenong,-37.977062018874605,145.209971111237,Private room,98,1,0,,,1,365
11148934,Tuscan Villa in amazing views.,57964239,Dominic Pappalardo,,Greater Dandenong,-37.952764272686515,145.22703705096424,Private room,75,1,0,,,1,365
12988604,A Third Floor Apartment Close to Amenities,64704997,Olga,,Greater Dandenong,-37.95632486544817,145.18197316720014,Entire home/apt,90,7,2,2017-01-23,0.31,1,15
13033196,2nd bedroom in large modern home.,33329279,Myrna,,Greater Dandenong,-37.96982275825002,145.20971128341972,Private room,60,1,8,2017-03-05,1.20,2,355
7468159,Insaa Apartments Dandenong - 4BR Townhouse,39093981,Don,,Greater Dandenong,-37.992598593319514,145.20526999793623,Entire home/apt,298,3,0,,,5,316
14269674,1 rooms has ensuite. 2 rooms share b/room.new home,2558544,Justine,,Greater Dandenong,-38.014529578395525,145.20232311947933,Private room,39,5,1,2016-09-20,0.15,1,342
10239227,Cosy Room No.3 in Quiet Court,50855053,Bob,,Greater Dandenong,-37.9457565653389,145.19263070970723,Private room,55,1,6,2017-02-19,0.45,4,331
690762,Room To Let Next to Chilsom Tafe,3529788,Thomas,,Greater Dandenong,-37.974133664891276,145.2195461397694,Private room,80,1,1,2014-03-01,0.03,1,0
17547377,Hotel in Dandenong,68813725,Ivy,,Greater Dandenong,-37.97785108569023,145.20555774886898,Private room,140,1,0,,,4,365
7095182,New Executive Apartment furnished,6460810,Deborah,,Greater Dandenong,-37.98580018658054,145.2220528724435,Entire home/apt,145,2,37,2017-03-30,2.40,2,324
11093948,Chinese style master bedroom,20584468,Dorothy,,Greater Dandenong,-37.95144123613693,145.17652162081012,Private room,100,2,10,2017-02-20,0.83,5,336
16500264,Two bunk beds+single bed 4-6 people family room,107285752,May,,Greater Dandenong,-37.99800689730301,145.14822304753582,Private room,38,1,1,2017-02-08,0.55,5,87
5001593,Charming Rustic Open Plan Home ,25791816,Rachelle,,Greater Dandenong,-38.05874752422421,145.22129394417777,Private room,128,5,0,,,1,364
13226563,Cosy Family Home,39906565,Rohan,,Greater Dandenong,-38.00600053230056,145.14267696354995,Private room,35,1,1,2016-06-19,0.10,1,82
17948963,furnished,123157805,Opnbvgd,,Greater Dandenong,-37.95343541869968,145.15587008244856,Private room,51,1,0,,,1,178
17949024,garage,123158205,Ztjcmnm,,Greater Dandenong,-37.951720341405654,145.14516008414296,Private room,50,1,0,,,1,364
17323206,1 Bedroom for rent fit for 3 people,99172627,Ai,,Greater Dandenong,-37.96175886206033,145.16013361233075,Private room,80,1,0,,,1,0
10239025,Cozy Room No.2 in Quiet Court,50855053,Bob,,Greater Dandenong,-37.947000731771794,145.1940032687346,Private room,39,1,2,2016-04-16,0.15,4,317
7463312,Insaa Apartments Dandenong - 4BR Townhouse,39093981,Don,,Greater Dandenong,-37.991887783493006,145.20308472456975,Entire home/apt,298,3,2,2015-12-26,0.10,5,364
6384614,"Feel at home, close to facilities",33277326,Nusrat,,Greater Dandenong,-37.964165992752186,145.18005003824993,Private room,60,1,1,2015-11-22,0.06,1,337
6156890,Charming Melbourne private room,31940564,Qing,,Greater Dandenong,-38.003320428396925,145.1557055792516,Private room,66,1,15,2016-12-28,0.71,1,173
10283006,Cosy 3 Rooms in Quiet Court,50855053,Bob,,Greater Dandenong,-37.94716946815007,145.19290070752714,Entire home/apt,138,1,7,2017-01-14,0.56,4,316
11762465,Fabulous single room,20584468,Dorothy,,Greater Dandenong,-37.951353581414494,145.1780672932144,Private room,30,2,15,2017-03-21,1.19,5,355
5503903,Double bedroom with queen bed,755657,Galya,,Greater Dandenong,-37.96916198088059,145.20569335940584,Private room,45,1,0,,,1,365
